condtion	frame	row	#_cells	path
05	3	B	140	./20180321/ST_20180321_I_B19_Evos4x_B05_3_RFP.tif
03	1	D	24	./20180321/ST_20180321_I_B19_Evos4x_D03_1_RFP.tif
08	3	B	132	./20180321/ST_20180321_I_B19_Evos4x_B08_3_RFP.tif
04	1	B	96	./20180321/ST_20180321_I_B19_Evos4x_B04_1_RFP.tif
04	4	E	220	./20180321/ST_20180321_I_B19_Evos4x_E04_4_RFP.tif
03	3	B	162	./20180321/ST_20180321_I_B19_Evos4x_B03_3_RFP.tif
10	2	D	139	./20180321/ST_20180321_I_B19_Evos4x_D10_2_RFP.tif
08	1	D	94	./20180321/ST_20180321_I_B19_Evos4x_D08_1_RFP.tif
02	2	B	200	./20180321/ST_20180321_I_B19_Evos4x_B02_2_RFP.tif
03	6	F	147	./20180321/ST_20180321_I_B19_Evos4x_F03_6_RFP.tif
06	4	G	187	./20180321/ST_20180321_I_B19_Evos4x_G06_4_RFP.tif
08	2	D	63	./20180321/ST_20180321_I_B19_Evos4x_D08_2_RFP.tif
09	1	D	387	./20180321/ST_20180321_I_B19_Evos4x_D09_1_RFP.tif
07	2	G	71	./20180321/ST_20180321_I_B19_Evos4x_G07_2_RFP.tif
05	1	E	32	./20180321/ST_20180321_I_B19_Evos4x_E05_1_RFP.tif
02	3	E	9	./20180321/ST_20180321_I_B19_Evos4x_E02_3_RFP.tif
03	2	C	150	./20180321/ST_20180321_I_B19_Evos4x_C03_2_RFP.tif
09	6	B	250	./20180321/ST_20180321_I_B19_Evos4x_B09_6_RFP.tif
08	4	G	200	./20180321/ST_20180321_I_B19_Evos4x_G08_4_RFP.tif
08	5	B	161	./20180321/ST_20180321_I_B19_Evos4x_B08_5_RFP.tif
05	2	F	34	./20180321/ST_20180321_I_B19_Evos4x_F05_2_RFP.tif
03	1	F	87	./20180321/ST_20180321_I_B19_Evos4x_F03_1_RFP.tif
04	3	F	136	./20180321/ST_20180321_I_B19_Evos4x_F04_3_RFP.tif
08	1	C	131	./20180321/ST_20180321_I_B19_Evos4x_C08_1_RFP.tif
10	3	F	109	./20180321/ST_20180321_I_B19_Evos4x_F10_3_RFP.tif
06	5	C	75	./20180321/ST_20180321_I_B19_Evos4x_C06_5_RFP.tif
04	5	G	280	./20180321/ST_20180321_I_B19_Evos4x_G04_5_RFP.tif
06	1	D	60	./20180321/ST_20180321_I_B19_Evos4x_D06_1_RFP.tif
08	6	B	101	./20180321/ST_20180321_I_B19_Evos4x_B08_6_RFP.tif
04	5	B	174	./20180321/ST_20180321_I_B19_Evos4x_B04_5_RFP.tif
09	3	C	332	./20180321/ST_20180321_I_B19_Evos4x_C09_3_RFP.tif
